country,country_code,year,gdp_growth,inflation,interest_rate,unemployment
Argentina,ARG,2002,-11.8423138177008,,,
Argentina,ARG,2003,7.71839038006088,,,15.36
Argentina,ARG,2004,7.92951713016532,,,13.522
Argentina,ARG,2005,7.73898107569444,,,11.506
Argentina,ARG,2006,6.94185160089025,,,10.078
Argentina,ARG,2007,7.93261011269163,,,8.47
Argentina,ARG,2008,3.00856892610517,,,7.837
Argentina,ARG,2009,-6.9103121153056,,,8.645
Argentina,ARG,2010,8.96819672899282,,10.5575,7.714
Argentina,ARG,2011,4.88127252804149,,14.0875,7.18
Argentina,ARG,2012,-2.0383253093713,,14.0608333333333,7.217
Argentina,ARG,2013,1.39351266056681,,17.1491666666666,7.1
Argentina,ARG,2014,-3.51326421042003,,24.0091666666666,7.268
Argentina,ARG,2015,1.66091253843923,,24.9158333333333,7.577
Argentina,ARG,2016,-3.02450095578762,,31.2325,8.088
Argentina,ARG,2017,1.91639608148853,,26.5808333333333,8.347
Argentina,ARG,2018,-3.41553683867816,34.2772237131003,48.5166666666666,9.22
Argentina,ARG,2019,-2.69506723533574,53.5483043492339,67.2541666666666,9.843
Argentina,ARG,2020,-10.3361096878518,42.0150947376509,29.3875,11.461
Argentina,ARG,2021,10.1485599877349,48.4093786255199,35.5583333333333,8.736
Argentina,ARG,2022,5.79747980169367,72.430757531824,52.3991666666666,6.805
Argentina,ARG,2023,-2.13703473540124,133.488935594175,95.8941666666666,6.139
Argentina,ARG,2024,-1.68352700528746,219.883929014578,61.7066666666666,7.15
Argentina,ARG,2025,,,,7.145
Australia,AUS,2002,2.7740361493122,2.98157117047457,6.3625,
Australia,AUS,2003,1.91232481392237,2.73259754838937,6.6125,5.933
Australia,AUS,2004,3.11057041061613,2.34325687131265,7.05,5.399
Australia,AUS,2005,1.90739095765275,2.69182949622197,7.25833333333333,5.036
Australia,AUS,2006,1.39339848998918,3.55528696972984,7.6125,4.785
Australia,AUS,2007,1.91249613831002,2.32761442623159,8.19583333333333,4.381
Australia,AUS,2008,1.56811983624921,4.35029726664093,8.90833333333333,4.242
Australia,AUS,2009,-0.124768741461196,1.77112025681656,6.02083333333333,5.565
Australia,AUS,2010,0.632264496011231,2.9183370211222,7.27916666666667,5.214
Australia,AUS,2011,0.981771621515961,3.30384784681081,7.7375,5.083
Australia,AUS,2012,2.15339832775771,1.76278299052228,6.975,5.225
Australia,AUS,2013,0.902732553895234,2.44988248109259,6.17916666666667,5.663
Australia,AUS,2014,1.08218148890933,2.48792932080492,5.95,6.078
Australia,AUS,2015,0.704511799724457,1.50836803138463,5.575,6.055
Australia,AUS,2016,1.16312811538609,1.27699365720306,5.42083333333333,5.711
Australia,AUS,2017,0.62251098729871,1.94864309065653,5.2455,5.592
Australia,AUS,2018,1.3466306507712,1.91140002818579,5.26083333333333,5.345
Australia,AUS,2019,0.695209563773375,1.610770929127,5.101,5.143
Australia,AUS,2020,-1.35774770320791,0.846900734607273,,6.394
Australia,AUS,2021,1.86332687000336,2.86391284709318,,5.022
Australia,AUS,2022,2.91752727950202,6.59409658717841,,3.728
Australia,AUS,2023,1.09251403364293,5.59701792296707,,3.668
Australia,AUS,2024,-0.62779626326919,3.16656665428797,,3.942
Australia,AUS,2025,,,,4.09
Austria,AUT,2002,0.986311683800295,1.81035787764128,,
Austria,AUT,2003,0.650068295894712,1.35555370896445,,4.779
Austria,AUT,2004,1.93089688878541,2.06120618032869,,5.969
Austria,AUT,2005,1.62565909591297,2.29913785639285,,5.682
Austria,AUT,2006,2.75962370061296,1.44154851119016,,5.32
Austria,AUT,2007,3.43938549159965,2.16855528800756,,4.909
Austria,AUT,2008,1.13621131218787,3.21595033239879,,4.198
Austria,AUT,2009,-3.83849307623562,0.506308827696504,,5.371
Austria,AUT,2010,1.56453337880819,1.81353438995061,,4.883
Austria,AUT,2011,2.5811033185299,3.2865791487538,,4.637
Austria,AUT,2012,0.170488694211613,2.48567562177014,,4.909
Austria,AUT,2013,-0.836906795346636,2.00015616900597,,5.367
Austria,AUT,2014,-0.0285805465757676,1.60581182954473,,5.674
Austria,AUT,2015,0.174259722821304,0.896563335260319,,5.802
Austria,AUT,2016,1.01887723192984,0.891591752655362,,6.064
Austria,AUT,2017,1.56430689663536,2.08126911385586,,5.561
Austria,AUT,2018,1.98626296400239,1.99837981429548,,4.933
Austria,AUT,2019,1.30350317565873,1.53089564152643,,4.56
Austria,AUT,2020,-6.70639361073974,1.38191063351853,,5.201
Austria,AUT,2021,4.4669658436443,2.7666666666667,,6.459
Austria,AUT,2022,4.32849751156559,8.54686993188457,,4.992
Austria,AUT,2023,-1.76308859891033,7.81413417002831,,5.264
Austria,AUT,2024,-1.15937778694629,2.93791574279375,,5.2
Austria,AUT,2025,,,,5.582
Belgium,BEL,2002,1.25199428184297,1.6452143617536,,
Belgium,BEL,2003,0.615852527269695,1.58896399970371,,7.68
Belgium,BEL,2004,3.1239312841995,2.09728311239315,,7.363
Belgium,BEL,2005,1.76045646457337,2.78143263670029,,8.44
Belgium,BEL,2006,1.87817418916214,1.79120770070453,,8.246
Belgium,BEL,2007,2.91838151983706,1.82305630026809,,7.459
Belgium,BEL,2008,-0.343476136908251,4.48944420508404,,6.976
Belgium,BEL,2009,-2.69253471722568,-0.0531456741254176,,7.908
Belgium,BEL,2010,1.77618341639121,2.18929920422458,,8.293
Belgium,BEL,2011,0.613616927857308,3.5320821072274,,7.14
Belgium,BEL,2012,-0.403775116080638,2.83966343445899,,7.542
Belgium,BEL,2013,-0.166173060728624,1.11309594027539,,8.425
Belgium,BEL,2014,1.31477462306464,0.340002833356921,,8.523
Belgium,BEL,2015,0.887876358046185,0.561429152790157,,8.482
Belgium,BEL,2016,0.682454832714654,1.97385264653162,,7.83
Belgium,BEL,2017,1.08431151262542,2.12597086002616,,7.09
Belgium,BEL,2018,1.41528937457539,2.05316499865177,,5.941
Belgium,BEL,2019,1.89071932044187,1.43681956996438,,5.364
Belgium,BEL,2020,-5.20244011003201,0.740791812220343,,5.545
Belgium,BEL,2021,5.8180102265206,2.44024851144084,,6.248
Belgium,BEL,2022,3.11948540770641,9.597511728725,,5.57
Belgium,BEL,2023,0.852949954251983,4.04901077613941,,5.547
Belgium,BEL,2024,0.400004034972383,3.14349136500041,,5.7
Belgium,BEL,2025,,,,5.906
Brazil,BRA,2002,1.7820430814383,8.45016437708331,62.875,
Brazil,BRA,2003,-0.0458328306526994,14.7149197228147,67.0833333333333,11.168
Brazil,BRA,2004,4.57169367314847,6.59718509985963,54.925,10.072
Brazil,BRA,2005,2.07730833921147,6.86953720898964,55.3833333333333,10.551
Brazil,BRA,2006,2.8675208375461,4.18356812896909,50.8083333333333,9.692
Brazil,BRA,2007,5.00147015892721,3.64127299102652,43.7166666666666,9.28
Brazil,BRA,2008,4.09221626871856,5.67859390284168,47.25,8.268
Brazil,BRA,2009,-1.01632362228523,4.88803479876798,44.65,9.419
Brazil,BRA,2010,6.62782994929138,5.03872690108074,39.9916666666666,8.42
Brazil,BRA,2011,3.13169854409105,6.6364496221309,43.8833333333333,7.578
Brazil,BRA,2012,1.09733293754664,5.40349914036997,36.6366666666666,7.251
Brazil,BRA,2013,2.17333080616082,6.204310666401,27.3916666666666,7.071
Brazil,BRA,2014,-0.303163572469245,6.32904015516138,32.0083333333333,6.755
Brazil,BRA,2015,-4.30639755989316,9.02990102416136,43.9583333333333,8.538
Brazil,BRA,2016,-4.01012719205779,8.73914352329393,52.1,11.58
Brazil,BRA,2017,0.587668928601474,3.44637335032669,46.9166666666666,12.792
Brazil,BRA,2018,1.09040860420944,3.66485028376728,39.0833333333333,12.329
Brazil,BRA,2019,0.562970836695342,3.73297621216893,37.475,11.936
Brazil,BRA,2020,-3.83550546624957,3.21176803803376,29.0416666666666,13.697
Brazil,BRA,2021,4.3179316178023,8.30165975585673,30.0166666666666,13.158
Brazil,BRA,2022,2.64631532426549,9.28010608956872,39.4,9.231
Brazil,BRA,2023,2.83370012768067,4.59356282283203,43.6,7.947
Brazil,BRA,2024,3.00083291987643,4.36746407652336,40.225,6.801
Brazil,BRA,2025,,,,5.97
Canada,CAN,2002,1.88796484648248,2.25839440940855,4.20833333333333,
Canada,CAN,2003,0.89501858100094,2.75856321360112,4.6875,7.574
Canada,CAN,2004,2.13581560192544,1.85725871857256,4.0,7.185
Canada,CAN,2005,2.23757661617552,2.21355203439767,4.41666666666666,6.758
Canada,CAN,2006,1.60290147691838,2.00202539534161,5.8125,6.484
Canada,CAN,2007,1.06414487775739,2.13838399266837,6.10416666666666,6.156
Canada,CAN,2008,-0.0933427924909864,2.37027067444298,4.72916666666666,6.284
Canada,CAN,2009,-4.02008809742583,0.299466803009299,2.39583333333333,8.46
Canada,CAN,2010,1.95144744690714,1.77687154092627,2.60416666666666,8.178
Canada,CAN,2011,2.13607717133128,2.91213508872351,3.0,7.637
Canada,CAN,2012,0.658841956783917,1.51567823124516,3.0,7.392
Canada,CAN,2013,1.2535901034471,0.938291897815316,3.0,7.143
Canada,CAN,2014,1.84840952337521,1.90663590717861,3.0,7.023
Canada,CAN,2015,-0.11236916498423,1.12524136094277,2.775,6.945
Canada,CAN,2016,-0.0982963624127819,1.42875954701085,2.7,7.038
Canada,CAN,2017,1.8094644720755,1.59688412852976,2.7,6.426
Canada,CAN,2018,1.28092659672814,2.26822567248103,,5.837
Canada,CAN,2019,0.429657601305934,1.94926902411592,,5.69
Canada,CAN,2020,-6.06240642306676,0.716999632307827,,9.657
Canada,CAN,2021,5.36528781293082,3.39519318527527,,7.527
Canada,CAN,2022,2.32641594463436,6.80280115341612,,5.279
Canada,CAN,2023,-1.37792078609685,3.87900159788425,,5.415
Canada,CAN,2024,-1.40934525428779,2.38158383281173,,6.351
Canada,CAN,2025,,,,6.907
Chile,CHL,2002,2.06991885847773,2.48939816650705,7.75807289652374,
Chile,CHL,2003,3.63301530196716,2.8101787574361,6.17877873086097,9.765
Chile,CHL,2004,5.60291985486168,1.05473871403516,5.12700362788107,10.162
Chile,CHL,2005,4.79182839139716,3.05257621387849,6.67787900981345,9.34
Chile,CHL,2006,5.01952135827457,3.39201733699405,7.99948207856605,9.024
Chile,CHL,2007,4.14386212927862,4.40779938398044,8.67125848644778,8.427
Chile,CHL,2008,2.75755699285021,8.71626873039607,13.2617713664149,9.285
Chile,CHL,2009,-2.11061042692428,0.353045178360936,7.25063476884462,11.313
Chile,CHL,2010,4.79363748014636,1.4107110795432,4.75482680518702,8.547
Chile,CHL,2011,5.18104033334399,3.34121694259302,9.03015252269429,7.492
Chile,CHL,2012,5.14158431251035,3.00744840213047,10.0572624433615,6.79
Chile,CHL,2013,2.32789256098182,1.7895555398459,9.261876781921,6.361
Chile,CHL,2014,0.783002086375433,4.71867527854671,8.09805824839011,6.761
Chile,CHL,2015,1.11370445947465,4.34877353217044,5.51492732291402,6.605
Chile,CHL,2016,0.52983351729867,3.78619355893118,5.58839657725206,6.926
Chile,CHL,2017,-0.235110167425177,2.18271846868519,4.55285507889072,7.257
Chile,CHL,2018,2.14988195463914,2.43488981353057,4.1780192502556,7.623
Chile,CHL,2019,-0.962096016030856,2.55754475703326,,7.493
Chile,CHL,2020,-6.98113061984451,3.04549084804326,,10.934
Chile,CHL,2021,10.824550522267,4.52456838259143,,9.281
Chile,CHL,2022,1.64877813218645,11.6438667110559,,8.249
Chile,CHL,2023,-0.0196132258928543,7.58168251407962,,9.013
Chile,CHL,2024,2.09415451485827,4.29763891572524,,8.718
Chile,CHL,2025,,,,8.974
China,CHN,2002,8.51390950160066,-0.731970902350243,5.31,
China,CHN,2003,9.4344412783923,1.12760348729637,5.31,4.58
China,CHN,2004,9.47923943183717,3.82463743108159,5.58,4.49
China,CHN,2005,10.8046485485004,1.7764140766757,5.58,4.52
China,CHN,2006,12.0472818925694,1.64943099455859,6.12,4.43
China,CHN,2007,13.5553663508412,4.81676767378834,7.47,4.35
China,CHN,2008,9.10974706584638,5.92525137041091,5.31,4.59
China,CHN,2009,8.85990205362064,-0.728165250932898,5.31,4.72
China,CHN,2010,10.0634243207535,3.17532475269199,5.81,4.53
China,CHN,2011,8.86480747550642,5.55389892257493,6.56,4.55
China,CHN,2012,7.12701272347094,2.6195243264554,6.0,4.58
China,CHN,2013,7.06322465705706,2.62105001748114,6.0,4.6
China,CHN,2014,6.78666987945924,1.9216416278852,5.6,4.63
China,CHN,2015,6.35855026398104,1.43702380935654,4.35,4.65
China,CHN,2016,6.16542718232793,2.00000182191943,4.35,4.56
China,CHN,2017,6.24626618729064,1.59313600071435,4.35,4.47
China,CHN,2018,6.25861232477357,2.07479039965576,4.35,4.31
China,CHN,2019,5.6929006014863,2.89923416358226,4.35,4.56
China,CHN,2020,2.09686667315867,2.41942189457782,4.35,5.0
China,CHN,2021,8.47322717245602,0.981015135544881,4.35,4.55
China,CHN,2022,3.14769982133814,1.9735755573905,4.35,4.98
China,CHN,2023,5.52431494678926,0.23483682889305,4.35,4.67
China,CHN,2024,5.10662482837367,0.218128938439177,4.35,4.59
China,CHN,2025,,,,4.615
Colombia,COL,2002,0.939608606713477,6.35150728778872,16.3267983308287,
Colombia,COL,2003,2.36282939630979,7.1297886294186,15.1871011450879,13.221
Colombia,COL,2004,3.79715867736165,5.90402005546502,15.0830567168883,13.717
Colombia,COL,2005,3.37111077766936,5.05101962689695,14.5608333333333,11.062
Colombia,COL,2006,5.31174394421016,4.29342363628926,12.893913084832,11.088
Colombia,COL,2007,5.39446786231066,5.54438485815155,15.3818501011015,11.204
Colombia,COL,2008,2.04799051810861,6.9968849555451,17.1756231436696,11.273
Colombia,COL,2009,-0.0317051022677077,4.20251661216481,13.0080746033841,12.066
Colombia,COL,2010,3.31434936742798,2.27200227892008,9.38148993683401,11.153
Colombia,COL,2011,5.80823503363762,3.4150334477625,11.2199184470583,10.288
Colombia,COL,2012,2.87569627540904,3.16930188840055,12.5850402049247,9.959
Colombia,COL,2013,4.14129387844136,2.01699224310383,10.9855861710036,9.246
Colombia,COL,2014,3.5703066542077,2.89883787761737,10.8673350376127,8.799
Colombia,COL,2015,2.06923227113727,4.98983115849529,11.4499872575296,8.572
Colombia,COL,2016,1.08114925712198,7.51346024627674,14.6454318106769,8.922
Colombia,COL,2017,-0.101221554133033,4.3143132569501,13.6858303184817,9.086
Colombia,COL,2018,0.695264947238812,3.24056932930569,12.1148777449182,9.36
Colombia,COL,2019,1.36014067984289,3.52301932741446,11.7690653821826,10.28
Colombia,COL,2020,-8.50949477621059,2.52663500084706,9.85052425129014,15.983
Colombia,COL,2021,9.5929782838861,3.49505757399448,9.33784840910009,13.898
Colombia,COL,2022,6.18779953705864,10.1772313546166,15.8075088706303,10.541
Colombia,COL,2023,-0.410230298426796,11.7359044948689,21.0306368304862,9.591
Colombia,COL,2024,0.512522429942436,6.60908593728228,16.3744226380091,9.619
Colombia,COL,2025,,,,8.29
Czechia,CZE,2002,1.7094695893478,1.90298097019026,6.72416666666666,
Czechia,CZE,2003,3.33040637361914,0.118739205526814,5.94916666666666,7.777
Czechia,CZE,2004,4.70446820099657,2.76010781671153,6.0275,8.298
Czechia,CZE,2005,6.22798628216121,1.85709789109228,5.77666666666666,7.927
Czechia,CZE,2006,6.33483268224242,2.53399258343633,5.59366602166666,7.141
Czechia,CZE,2007,4.87504670244317,2.8531243721117,5.78837958370078,5.316
Czechia,CZE,2008,1.76470872925512,6.3586638015237,6.25170833333333,4.392
Czechia,CZE,2009,-5.33917399896316,1.01937735329229,5.98995833333333,6.662
Czechia,CZE,2010,2.41582948883936,1.47272727272728,5.88783333333333,7.281
Czechia,CZE,2011,1.56218619113156,1.9172191363555,5.71783333333333,6.712
Czechia,CZE,2012,-0.909418387644408,3.28762306610411,5.40672323724727,6.979
Czechia,CZE,2013,-0.0749629946207335,1.4382978723404,4.96989301373891,6.953
Czechia,CZE,2014,2.13762755318902,0.343988589646793,4.64490546444,6.108
Czechia,CZE,2015,4.75262406436026,0.309364548494975,4.28253332923937,5.048
Czechia,CZE,2016,2.3840542545404,0.683504209385702,3.9072462757748,3.952
Czechia,CZE,2017,4.8945501951199,2.4505339846014,3.58974364323778,2.893
Czechia,CZE,2018,2.48698770067625,2.14949494949492,3.5416158774108,2.246
Czechia,CZE,2019,3.15874802851988,2.84787595918041,3.68603218349691,2.015
Czechia,CZE,2020,-5.53491969820153,3.1612952849781,3.34430704292427,2.55
Czechia,CZE,2021,5.93106968937249,3.83984491500146,3.20212533339961,2.803
Czechia,CZE,2022,1.24409473190281,15.100165146837,4.22500917823384,2.224
Czechia,CZE,2023,-1.71985869478267,10.6612601372427,4.68277500627328,2.579
Czechia,CZE,2024,0.852606650391238,2.43531202435314,4.71398151729159,2.6
Czechia,CZE,2025,,,,2.825
Denmark,DNK,2002,0.13609648331196,2.42443661219694,,
Denmark,DNK,2003,0.168251992521974,2.07507820646506,,5.398
Denmark,DNK,2004,2.51108744805822,1.15435693124934,,5.204
Denmark,DNK,2005,2.07801485327876,1.81781458291254,,4.83
Denmark,DNK,2006,3.47585987311464,1.92422138464584,,3.897
Denmark,DNK,2007,0.540321532272571,1.69326586220324,,3.801
Denmark,DNK,2008,-1.00055940971312,3.41626794258374,,3.683
Denmark,DNK,2009,-5.48158280998165,1.30470991024335,,6.409
Denmark,DNK,2010,1.13266938250023,2.31092436974786,,7.746
Denmark,DNK,2011,0.894526404293345,2.7586822605125,,7.769
Denmark,DNK,2012,-0.380977125445526,2.3979148566464,,7.798
Denmark,DNK,2013,0.970845909690212,0.789071780078062,,7.384
Denmark,DNK,2014,0.765766155124069,0.56402054044954,,6.925
Denmark,DNK,2015,1.38566632188861,0.452034153691574,,6.278
Denmark,DNK,2016,2.27180151789635,0.250000000000031,,5.989
Denmark,DNK,2017,2.39559065097636,1.14713216957601,,5.833
Denmark,DNK,2018,1.35619600199787,0.813609467455631,,5.131
Denmark,DNK,2019,1.34779245340653,0.75813157251162,,5.018
Denmark,DNK,2020,-2.06613837683189,0.420711974110024,,5.644
Denmark,DNK,2021,6.03966577353796,1.85304543989689,,5.065
Denmark,DNK,2022,-0.344058639271637,7.69656699889259,,4.434
Denmark,DNK,2023,-0.138322294600371,3.30517811237605,,5.094
Denmark,DNK,2024,2.95776259160623,1.37220049768925,,5.358
Denmark,DNK,2025,,,,5.529
"Egypt, Arab Rep.",EGY,2002,0.258696268364815,2.73723855000334,13.7916666666666,
"Egypt, Arab Rep.",EGY,2003,1.05358246778609,4.50777636319303,13.5333333333333,10.91
"Egypt, Arab Rep.",EGY,2004,1.96524683873078,11.2706193320519,13.375,10.32
"Egypt, Arab Rep.",EGY,2005,2.38032461797421,4.86939696871988,13.1416666666666,11.049
"Egypt, Arab Rep.",EGY,2006,4.77751297935043,7.64452644526434,12.6,10.49
"Egypt, Arab Rep.",EGY,2007,5.0854672784842,9.31896905799229,12.5083333333333,8.8
"Egypt, Arab Rep.",EGY,2008,5.17381069878276,18.3168316831684,12.325,8.517
"Egypt, Arab Rep.",EGY,2009,2.7155259206418,11.7634954386443,11.975,9.087
"Egypt, Arab Rep.",EGY,2010,3.14977851168294,11.2651882653185,11.0083333333333,8.757
"Egypt, Arab Rep.",EGY,2011,-0.354646267702748,10.0649259874818,11.0333333333333,11.849
"Egypt, Arab Rep.",EGY,2012,-0.0429670178954922,7.11172943343082,12.0,12.597
"Egypt, Arab Rep.",EGY,2013,-0.14323388107762,9.4697198106492,12.2916666666666,13.154
"Egypt, Arab Rep.",EGY,2014,0.599558564006458,10.0702154687481,11.7083333333333,13.105
"Egypt, Arab Rep.",EGY,2015,2.20415858015615,10.370490343517,11.625,13.052
"Egypt, Arab Rep.",EGY,2016,2.24497375649698,13.8136062148289,13.6,12.45
"Egypt, Arab Rep.",EGY,2017,2.12015477172733,29.5066083940038,18.175,11.767
"Egypt, Arab Rep.",EGY,2018,3.35166753247044,14.4014657807421,18.3166666666666,9.855
"Egypt, Arab Rep.",EGY,2019,3.71584088573542,9.15279959324803,16.1166666666666,7.851
"Egypt, Arab Rep.",EGY,2020,1.88111975917718,5.04493288977538,11.3666666666666,7.974
"Egypt, Arab Rep.",EGY,2021,1.76220484283698,5.21404940513042,9.425,7.441
"Egypt, Arab Rep.",EGY,2022,5.01555864991792,13.8956609775177,10.5833333333333,6.546
"Egypt, Arab Rep.",EGY,2023,2.02315842412948,33.8847763115546,17.7583333333333,6.753
"Egypt, Arab Rep.",EGY,2024,0.639636335125445,28.2705899322082,24.2916666666666,6.817
"Egypt, Arab Rep.",EGY,2025,,,,6.781
Finland,FIN,2002,1.44115409187744,1.57122012789379,,
Finland,FIN,2003,1.76883520334854,0.877440386254785,,10.469
Finland,FIN,2004,3.70383750334673,0.187120559084418,,10.358
Finland,FIN,2005,2.42615653951086,0.62387445002519,,9.602
Finland,FIN,2006,3.62113497225309,1.56666380704386,,8.935
Finland,FIN,2007,4.86572137220107,2.5106656524034,,6.854
Finland,FIN,2008,0.316320525705208,4.06595355358379,,6.369
Finland,FIN,2009,-8.51460466433139,-9.17360384430342e-07,,8.249
Finland,FIN,2010,2.69737665062684,1.18413523154646,,8.394
Finland,FIN,2011,1.91685338301681,3.41680754255211,,7.781
Finland,FIN,2012,-1.99029082999297,2.80833622561573,,7.689
Finland,FIN,2013,-1.43490157636175,1.47828615688809,,8.193
Finland,FIN,2014,-0.888801631577977,1.04119621178439,,8.663
Finland,FIN,2015,0.136127693741741,-0.207928839905268,,9.376
Finland,FIN,2016,2.27754373131673,0.356684500891695,,8.818
Finland,FIN,2017,3.06123169296772,0.754015047084346,,8.64
Finland,FIN,2018,1.05884315705418,1.08382098409305,,7.361
Finland,FIN,2019,1.23812097519217,1.0240939296343,,6.695
Finland,FIN,2020,-2.63099855258851,0.290554555653239,,7.759
Finland,FIN,2021,2.46373050011893,2.19457432340007,,7.617
Finland,FIN,2022,0.489394588644501,7.12350773301402,,6.719
Finland,FIN,2023,-1.43236573890965,6.25064322154762,,7.149
Finland,FIN,2024,-0.227073487020519,1.56568906231615,,8.4
Finland,FIN,2025,,,,9.461
France,FRA,2002,0.335619014023663,1.92341228727063,,
France,FRA,2003,0.257866805308325,2.09847219146919,,8.306
France,FRA,2004,2.11736543407739,2.14208964640238,,8.914
France,FRA,2005,1.1253537135494,1.74586936380487,,8.882
France,FRA,2006,2.00131130247657,1.67512449608726,,8.832
France,FRA,2007,1.89856745333175,1.48799805953859,,8.008
France,FRA,2008,-0.178410661195599,2.81286194914785,,7.386
France,FRA,2009,-3.32212444604225,0.0876204781574653,,9.122
France,FRA,2010,1.49872466177408,1.53112270420918,,9.279
France,FRA,2011,1.94433505424516,2.11159795175,,9.228
France,FRA,2012,-0.299598729272304,1.95419531613509,,9.841
France,FRA,2013,0.26214454973659,0.863715497861804,,9.913
France,FRA,2014,0.519383764691739,0.507758822937989,,10.273
France,FRA,2015,0.708030590350688,0.0375143805125181,,10.354
France,FRA,2016,0.594243752389232,0.183334861123764,,10.057
France,FRA,2017,1.78779549384231,1.03228275064681,,9.409
France,FRA,2018,1.28216603702126,1.85081508315492,,9.018
France,FRA,2019,1.68870844116209,1.10825492288293,,8.415
France,FRA,2020,-7.74056751254994,0.476498852725065,,8.009
France,FRA,2021,6.50155219757207,1.64233141038393,,7.871
France,FRA,2022,2.20208858513766,5.22236748369725,,7.303
France,FRA,2023,1.16054609449012,4.8783572650844,,7.335
France,FRA,2024,0.925700761599856,1.99904942291462,,7.4
France,FRA,2025,,,,7.542
Germany,DEU,2002,-0.395859338643859,1.42080615551526,,
Germany,DEU,2003,-0.584856140854797,1.03422218628562,,9.779
Germany,DEU,2004,1.18405124273107,1.66573696655991,,10.727
Germany,DEU,2005,0.942782582208039,1.54691114751328,,11.193
Germany,DEU,2006,3.98390753495501,1.57742642840563,,10.277
Germany,DEU,2007,3.0267913002332,2.2983440070095,,8.732
Germany,DEU,2008,1.07991595041742,2.62837981637219,,7.508
Germany,DEU,2009,-5.30491661723096,0.312739007368446,,7.88
Germany,DEU,2010,4.29429269623485,1.1038103778926,,7.043
Germany,DEU,2011,5.69928311502757,2.07517283735874,,5.967
Germany,DEU,2012,0.275091009850499,2.00848884782956,,5.372
Germany,DEU,2013,0.12338547838786,1.50472330251876,,5.316
Germany,DEU,2014,1.75510660613023,0.906794000434245,,4.979
Germany,DEU,2015,0.786705244581157,0.514426137125456,,4.612
Germany,DEU,2016,1.40038690062336,0.491747008445174,,4.104
Germany,DEU,2017,2.4144426920242,1.50949485109628,,3.781
Germany,DEU,2018,0.832212527052548,1.73216879766941,,3.384
Germany,DEU,2019,0.750266426253219,1.44565976888253,,3.163
Germany,DEU,2020,-4.21020011825779,0.144877925813981,,3.881
Germany,DEU,2021,3.86602720371127,3.06666666666673,,3.594
Germany,DEU,2022,1.83161439976671,6.87257438551096,,3.137
Germany,DEU,2023,-0.999929288913975,5.94643667725823,,3.071
Germany,DEU,2024,-0.769070552658818,2.2564981433876,,3.4
Germany,DEU,2025,,,,3.711
Greece,GRC,2002,4.30010645802261,3.62935871878874,,
Greece,GRC,2003,5.54464686570202,3.53065027765554,,9.839
Greece,GRC,2004,5.11746949484984,2.89884810758167,,10.628
Greece,GRC,2005,0.887221298370648,3.5450727333508,,10.074
Greece,GRC,2006,6.12419382696766,3.19594684144543,,8.906
Greece,GRC,2007,3.24351376995932,2.89500321516578,,8.351
Greece,GRC,2008,-0.2077841521306,4.1527970811029,,7.664
Greece,GRC,2009,-4.37113631022572,1.21007269197809,,9.546
Greece,GRC,2010,-5.81520524166056,4.71298907760395,,12.719
Greece,GRC,2011,-9.74334160929287,3.3298532335065,,17.973
Greece,GRC,2012,-7.83408943355501,1.50152696177758,,24.731
Greece,GRC,2013,-1.56089629701783,-0.921269454256899,,27.686
Greece,GRC,2014,1.46585655106406,-1.31226096405525,,26.708
Greece,GRC,2015,0.431225575747547,-1.73588804765275,,24.981
Greece,GRC,2016,0.384851865059588,-0.825653978391033,,23.514
Greece,GRC,2017,1.67402014860588,1.12125452031425,,21.413
Greece,GRC,2018,2.27195132202993,0.62562141345364,,19.179
Greece,GRC,2019,2.38497557963629,0.253007522038059,,17.045
Greece,GRC,2020,-9.00116455331775,-1.24798355581405,,15.899
Greece,GRC,2021,9.98468495798464,1.22382501019854,,14.656
Greece,GRC,2022,6.85985632812138,9.64525981280642,,12.426
Greece,GRC,2023,2.42572335736084,3.46480128513405,,11.023
Greece,GRC,2024,2.10832570957629,2.74101875679477,,10.02
Greece,GRC,2025,,,,8.54
Hungary,HUN,2002,5.02871060786862,5.26544821583985,10.1688765035317,
Hungary,HUN,2003,4.23691963512549,4.66101694915254,9.60342391546246,5.79
Hungary,HUN,2004,5.19581258967388,6.74434679569469,12.8245260157791,5.832
Hungary,HUN,2005,4.50792078649896,3.56151711378352,8.54094532697993,7.189
Hungary,HUN,2006,4.09589996478341,3.93032603841001,8.07941498799324,7.494
Hungary,HUN,2007,0.487904817715162,7.9587451654491,9.08594749573091,7.406
Hungary,HUN,2008,1.17042884387347,6.0425125388106,10.1816677384355,7.817
